Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),rho (g/cm^3),sigrho (g/cm^3),nu  (Pa/s),signu (Pa/s),Va (A^3/atom),Vm (cm^3/mol),sigVm (cm^3/mol),#Mg,#Si,#O,#H,H2O (mol %),MgO (mol %),SiO2 (mol %),apfu,Source
En,155.10535,0.0610558,6000,0.319056,5.161439589,1.00E-10,NaN,NaN,6.459647957,19.45,1.00E-10,NaN,NaN,NaN,NaN,0.00,50.00,50.00,5.00,Stixrude & Karki (2005)
EnH50,0.44575,0.034837,1779.30093,0.39732,39.17601942,1.00E-10,0.00569,0.0028,10.84247189,39.17601942,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,0.92756,0.03445,1775.1742,0.494,39.04350982,1.00E-10,8.91E-04,5.84E-04,10.23707192,39.04350982,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,1.045,0.072878,1788.04245,0.43646,2.567465402,1.00E-10,0.00981,0.00646,11.43262786,37.17753389,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH25,1.12216,0.045164,2981.71832,0.4898,2.432335644,1.00E-10,0.00145,7.26E-04,12.06777385,39.24295244,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,1.79377,0.039975,1780.02742,0.57745,37.21721845,1.00E-10,0.00649,0.00168,10.30034829,37.21721845,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,2.04117,0.043956,2968.2802,0.53751,2.247472594,1.00E-10,5.81E-04,9.89E-05,10.84247189,39.17601942,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,2.34624,0.04785,1775.80213,0.53744,36.87442594,1.00E-10,0.00202,6.23E-04,9.6683457,36.87442594,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,2.7378,0.0406,2962.13712,0.54191,2.149733474,1.00E-10,4.99E-04,1.94E-04,10.23707192,39.04350982,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,2.98628,0.057011,2981.83934,0.64269,2.567465402,1.00E-10,0.00162,7.24E-04,11.43262786,37.17753389,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH25,3.22079,0.066735,1788.91123,0.98235,2.718492779,1.00E-10,0.01296,0.01,10.79748187,35.11211534,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,3.65636,0.045282,2968.71452,0.58778,2.365760626,1.00E-10,0.00102,1.94E-04,10.30034829,37.21721845,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,3.65823,0.042574,1780.21554,0.65013,35.25841748,1.00E-10,0.00519,0.0023,9.758224698,35.25841748,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,4.36866,0.05746,1775.9203,0.87678,34.70534206,1.00E-10,0.00234,3.64E-04,9.099619482,34.70534206,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,4.42634,0.03317,2962.06481,0.44901,2.276188384,1.00E-10,6.43E-04,1.43E-04,9.6683457,36.87442594,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,5.24664,0.054469,2981.82913,0.19394,2.718492779,1.00E-10,0.0019,2.16E-04,10.79748187,35.11211534,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,5.72448,0.045007,2968.3431,0.32171,2.497191771,1.00E-10,9.45E-04,2.12E-04,9.758224698,35.25841748,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH25,5.75903,0.07761,1788.52888,0.42655,2.888398577,1.00E-10,0.01135,0.0032,10.16233588,33.04669679,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,5.87647,0.086311,1780.11513,0.59436,33.29961651,1.00E-10,0.00751,0.00302,9.216101103,33.29961651,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH60,6.72006,0.05693,2962.344,0.48234,2.418450158,1.00E-10,6.39E-04,1.67E-04,9.099619482,34.70534206,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,7.05902,0.08171,1776.34177,0.28,32.53625819,1.00E-10,0.00355,0.0024,8.530893265,32.53625819,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,8.40303,0.079663,2982.18798,0.61524,2.888398577,1.00E-10,0.00156,3.92E-04,10.16233588,33.04669679,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH50,8.50012,0.055007,2969.26865,0.67132,2.644085405,1.00E-10,0.00141,3.52E-04,9.216101103,33.29961651,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,8.78455,0.096122,1780.29549,0.23752,31.34081554,1.00E-10,0.00859,0.00525,8.673977509,31.34081554,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH25,9.44819,0.13275,1788.59787,0.13026,3.080958483,1.00E-10,0.01613,0.01288,9.527189884,30.98127824,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH60,9.97363,0.05903,2962.78904,0.45453,2.579680169,1.00E-10,6.74E-04,2.77E-04,8.530893265,32.53625819,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,10.7157,0.09966,1775.12585,0.3639,30.36717431,1.00E-10,0.00496,0.00133,7.962167047,30.36717431,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH50,12.10405,0.056666,2969.53507,0.20398,2.809340743,1.00E-10,0.00144,3.36E-04,8.673977509,31.34081554,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,12.50671,0.067751,1780.50418,0.42148,29.38201456,1.00E-10,0.00928,0.00612,8.131853915,29.38201456,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH25,12.51977,0.086702,2981.80363,0.2697,3.080958483,1.00E-10,0.00204,7.00E-04,9.527189884,30.98127824,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH25,13.50164,0.128329,1788.82829,0.25461,3.301026946,1.00E-10,0.03546,0.01813,8.892043892,28.91585969,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH60,14.30389,0.06291,2962.80268,0.66644,2.763943038,1.00E-10,0.00102,2.09E-04,7.962167047,30.36717431,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH60,15.38519,0.11771,1776.60855,0.50549,28.19809043,1.00E-10,0.00692,0.0018,7.393440829,28.19809043,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH50,16.76469,0.069437,2969.18658,0.14127,2.996630126,1.00E-10,0.00147,3.98E-04,8.131853915,29.38201456,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,17.35494,0.102528,1780.79142,0.34422,27.42321359,1.00E-10,0.01831,0.00924,7.58973032,27.42321359,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH25,18.29621,0.083416,2981.7977,0.55234,3.301026946,1.00E-10,0.00276,7.31E-04,8.892043892,28.91585969,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH60,20.54701,0.07201,2963.13957,0.20138,2.976554041,1.00E-10,0.00142,6.61E-04,7.393440829,28.19809043,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH25,20.5942,0.102416,1788.58223,0.30731,3.554952095,1.00E-10,0.06094,0.02414,8.2568979,26.85044114,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH60,21.9071,0.16005,1777.38967,0.26613,26.02900655,1.00E-10,0.0166,0.00915,6.824714612,26.02900655,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH50,23.42594,0.078962,2969.27857,0.50441,3.210675135,1.00E-10,0.00287,9.18E-04,7.58973032,27.42321359,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH50,25.07162,0.086678,1780.82071,0.36597,25.46441262,1.00E-10,0.03575,0.01092,7.047606726,25.46441262,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
EnH25,25.95165,0.1250813,2981.53263,0.54592,3.554952095,1.00E-10,0.00355,0.00106,8.2568979,26.85044114,1.00E-10,27,27,90,18,14.29,42.86,42.86,5.40,This Study
EnH60,29.32472,0.10674,2963.25516,0.44248,3.224600211,1.00E-10,0.0022,7.62E-04,6.824714612,26.02900655,1.00E-10,16,16,72,48,42.86,28.57,28.57,6.33,This Study
EnH50,32.61645,0.117458,2969.23886,0.43931,3.457650145,1.00E-10,0.00365,9.19E-04,7.047606726,25.46441262,1.00E-10,20,20,80,40,33.33,33.33,33.33,6.00,This Study
Fo,160.62529,6.11E-02,3000,3.19E-01,5.374076903,1.00E-10,NaN,NaN,6.210561275,19.635,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,167.88405,6.11E-02,4000,3.19E-01,5.374076903,1.00E-10,NaN,NaN,6.210561275,19.635,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,187.88405,6.11E-02,6000,3.19E-01,5.374076903,1.00E-10,NaN,NaN,6.210561275,19.635,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,73.79966,6.11E-02,3000,3.19E-01,4.47839742,1.00E-10,NaN,NaN,7.45267353,23.562,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,80.2744,6.11E-02,4000,3.19E-01,4.47839742,1.00E-10,NaN,NaN,7.45267353,23.562,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,99.50517,6.11E-02,6000,3.19E-01,4.47839742,1.00E-10,NaN,NaN,7.45267353,23.562,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,34.23105,6.11E-02,3000,3.19E-01,3.83862636,1.00E-10,NaN,NaN,8.694785785,27.489,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,41.70265,6.11E-02,4000,3.19E-01,3.83862636,1.00E-10,NaN,NaN,8.694785785,27.489,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,55.356495,6.11E-02,6000,3.19E-01,3.83862636,1.00E-10,NaN,NaN,8.694785785,27.489,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,16.540796,6.11E-02,3000,3.19E-01,3.358798065,1.00E-10,NaN,NaN,9.936898041,31.416,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,21.977617,6.11E-02,4000,3.19E-01,3.358798065,1.00E-10,NaN,NaN,9.936898041,31.416,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,31.977617,6.11E-02,6000,3.19E-01,3.358798065,1.00E-10,NaN,NaN,9.936898041,31.416,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,16.99229,0.083863,2992.48325,0.49385,3.358518964,1.00E-10,0.00709,0.00312,9.937707339,31.41855864,1.00E-10,46,23,92,0,0.00,66.67,33.33,5.25,This Study
Fo,11.83864,0.060525,2992.71637,0.3808,3.160767955,1.00E-10,0.00453,0.0026,10.55945233,33.38423652,1.00E-10,46,23,92,0,0.00,66.67,33.33,5.25,This Study
Fo,8.258238,6.11E-02,3000,3.19E-01,2.98559828,1.00E-10,NaN,NaN,11.1790103,35.343,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,10.905866,6.11E-02,4000,3.19E-01,2.98559828,1.00E-10,NaN,NaN,11.1790103,35.343,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,19.36797,6.11E-02,6000,3.19E-01,2.98559828,1.00E-10,NaN,NaN,11.1790103,35.343,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,7.83179,0.05319,2992.8469,0.10446,2.984857099,1.00E-10,0.00446,0.00162,11.18176765,35.35171752,1.00E-10,46,23,92,0,0.00,66.67,33.33,5.25,This Study
Fo,4.68312,0.05267,2993.31006,0.17592,2.827916987,1.00E-10,0.00346,0.00113,11.80231906,37.31362182,1.00E-10,46,23,92,0,0.00,66.67,33.33,5.25,This Study
Fo,3.695002,6.11E-02,3000,3.19E-01,2.687038452,1.00E-10,NaN,NaN,12.42112255,39.27,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,5.4116025,6.11E-02,4000,3.19E-01,2.687038452,1.00E-10,NaN,NaN,12.42112255,39.27,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,12.33468,6.11E-02,6000,3.19E-01,2.687038452,1.00E-10,NaN,NaN,12.42112255,39.27,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,2.45957,0.055031,2993.23811,0.44025,2.686517107,1.00E-10,0.00138,3.25E-04,12.42351239,39.27755558,1.00E-10,46,23,92,0,0.00,66.67,33.33,5.25,This Study
Fo,0.6632516,6.11E-02,3000,3.19E-01,2.442762229,1.00E-10,NaN,NaN,13.66323481,43.197,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,2.801389,6.11E-02,4000,3.19E-01,2.442762229,1.00E-10,NaN,NaN,13.66323481,43.197,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,8.18657,6.11E-02,6000,3.19E-01,2.442762229,1.00E-10,NaN,NaN,13.66323481,43.197,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,-0.289811,6.11E-02,3000,3.19E-01,2.23919871,1.00E-10,NaN,NaN,14.90534706,47.124,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,0.7686646,6.11E-02,4000,3.19E-01,2.23919871,1.00E-10,NaN,NaN,14.90534706,47.124,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
Fo,5.19231,6.11E-02,6000,3.19E-01,2.23919871,1.00E-10,NaN,NaN,14.90534706,47.124,1.00E-10,NaN,NaN,NaN,NaN,0.00,66.67,33.33,5.25,de Koker et al. (2008)
MSH70,0.27554,0.03435,1771.77166,0.80733,41.37012042,1.00E-10,5.21E-04,4.56E-04,10.16162456,41.37012042,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH40,0.86932,0.05007,1784.24407,0.35956,38.77025966,1.00E-10,0.00352,0.00135,11.13764752,38.77025966,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH60,0.88905,0.037,1776.1111,0.47704,39.3402264,1.00E-10,0.00106,2.33E-04,10.27162104,39.3402264,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MS,1.01882,0.06122,2992.84256,0.39628,2.584682966,1.00E-10,0.00214,3.13E-04,12.90322449,39.3874932,1.00E-10,33,27,87,0,0.00,55.00,45.00,5.07,This Study
MSH60,1.26868,0.03718,2962.8429,0.72635,2.063047965,1.00E-10,0.0022,7.62E-04,10.91359735,41.79899055,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MSH70,1.59714,0.02798,1771.76189,0.63496,38.78448789,1.00E-10,8.28E-04,4.24E-04,9.526523027,38.78448789,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH70,1.95238,0.038949,2955.13244,0.46369,1.957328766,1.00E-10,2.97E-04,3.01E-05,10.16162456,41.37012042,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH40,2.00172,0.05301,1784.88818,0.22294,36.92405682,1.00E-10,0.00775,0.00416,10.60728335,36.92405682,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
FoH50,2.35877,0.05243,1783.1537,0.41619,37.29836644,1.00E-10,0.00521,0.002,10.32280705,37.29836644,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MSH40,2.52424,0.04094,2975.88957,0.491,2.423575016,1.00E-10,8.18E-04,1.32E-04,11.13764752,38.77025966,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH60,2.62845,0.04189,1777.07006,0.40019,36.88146225,1.00E-10,0.00193,0.00134,9.629644723,36.88146225,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MS,2.64682,0.0568,2992.73543,0.18238,2.720718912,1.00E-10,0.00206,7.89E-04,12.25806327,37.41811854,1.00E-10,33,27,87,0,0.00,55.00,45.00,5.07,This Study
MSH60,2.78494,0.03564,2963.20292,0.5149,2.191988463,1.00E-10,4.75E-04,1.36E-04,10.27162104,39.3402264,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MSH70,3.61713,0.037622,2956.19712,0.52446,2.087817351,1.00E-10,3.62E-04,6.66E-05,9.526523027,38.78448789,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH70,3.67845,0.0444,1772.34868,0.49356,36.19885536,1.00E-10,0.00102,1.95E-04,8.891421492,36.19885536,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH40,4.06087,0.04646,1785.40372,0.57765,35.07785398,1.00E-10,0.00373,0.00213,10.07691918,35.07785398,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH40,4.30188,0.04797,2975.76818,0.48704,2.544753767,1.00E-10,0.00104,3.43E-04,10.60728335,36.92405682,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
FoH50,4.48449,0.04324,1783.4159,0.41975,35.33529452,1.00E-10,0.0036,0.00292,9.779501416,35.33529452,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MSH60,4.87069,0.0382,2963.74459,0.52236,2.338121027,1.00E-10,5.92E-04,3.14E-04,9.629644723,36.88146225,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
FoH50,4.93877,0.04765,2973.95893,0.6997,2.536847402,1.00E-10,9.46E-04,4.01E-04,10.32280705,37.29836644,1.00E-10,32,16,80,32,25.00,50.00,25.00,6.00,This Study
MS,5.2413,0.06103,2992.62926,0.48643,2.871869963,1.00E-10,0.0021,5.60E-04,11.61290204,35.44874388,1.00E-10,33,27,87,0,0.00,55.00,45.00,5.07,This Study
MSH60,5.26308,0.0708,1777.19554,0.53116,34.4226981,1.00E-10,0.00303,0.00232,8.987668408,34.4226981,1.00E-10,21,15,75,48,40.00,35.00,25.00,6.36,This Study
MSH70,6.00114,0.044626,2955.97015,0.44673,2.236947162,1.00E-10,3.99E-04,9.18E-05,8.891421492,36.19885536,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH70,6.46355,0.04284,1772.50792,0.23432,33.61322284,1.00E-10,0.00138,4.44E-04,8.256319957,33.61322284,1.00E-10,17,12,71,60,50.85,28.81,20.34,6.76,This Study
MSH40,6.5001,0.07724,1785.06988,0.23691,33.23165114,1.00E-10,0.00926,0.00601,9.546555014,33.23165114,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
MSH40,6.65345,0.05313,2975.93089,0.50666,2.678688175,1.00E-10,0.0011,2.72E-04,10.07691918,35.07785398,1.00E-10,28,20,82,28,22.58,45.16,32.26,5.78,This Study
